Rk,Player,Tm,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Signed Using,Guaranteed
532,Joe Chealey\chealjo01,CHO,163356,,,,,,,"$163,356 "
533,Luguentz Dort\dortlu01,OKC,155647,"$1,517,981 ","$1,782,621 ","$1,930,681 ",,,Minimum Salary,"$2,298,628 "
534,Cameron Payne\payneca01,TOR,150000,,,,,,,"$150,000 "
535,Jeff Green\greenje02,HOU,144901,,,,,,,"$840,427 "
536,Anthony Tolliver\tollian01,MEM,144901,,,,,,,"$434,704 "
537,Joakim Noah\noahjo01,LAC,144901,,,,,,,"$434,704 "
538,Troy Williams\willitr02,HOU,122741,"$122,741 ","$122,741 ","$122,741 ",,,,"$490,964 "
539,Johnathan Williams\willijo04,WAS,106181,,,,,,,"$106,181 "
540,Tyler Cook\cookty01,CLE,101504,,,,,,,"$151,504 "
541,Donta Hall\halldo01,DET,101504,,,,,,,"$101,504 "
542,Donta Hall\halldo01,BRK,101504,,,,,,Minimum Salary,"$101,504 "
543,Yante Maten\matenya01,MIA,100000,,,,,,,"$100,000 "
544,Jaylen Adams\adamsja01,ATL,100000,,,,,,,"$100,000 "
545,Justin Anderson\anderju01,BRK,98144,,,,,,,"$294,432 "
546,Demetrius Jackson\jacksde01,BOS,92857,"$92,857 ","$92,857 ","$92,857 ","$92,857 ",,,"$464,285 "
547,Chasson Randle\randlch01,GSW,91557,,,,,,,"$91,557 "
548,Jeremy Pargo\pargoje01,GSW,91557,,,,,,,"$91,557 "
549,Jonah Bolden\boldejo01,PHO,81678,,,,,,,"$81,678 "
550,Josh Magette\magetjo01,ORL,81678,,,,,,,"$81,678 "
551,Jarrod Uthoff\uthofja01,MEM,81678,,,,,,,"$81,678 "
552,Dusty Hannahs\hannadu01,MEM,81678,,,,,,,"$81,678 "
553,Derrick Walton\waltode01,DET,81678,,,,,,,"$81,678 "
554,Sheldon Mac\mcclesh01,CLE,81678,,,,,,,"$81,678 "
555,J.P. Macura\macurjp01,CLE,81678,,,,,,,"$81,678 "
556,Mychal Mulder\muldemy01,GSW,50752,,,,,,,"$238,534 "
557,Eric Mika\mikaer01,SAC,50752,,,,,,,"$50,752 "
558,Zach Norvell\norveza01,GSW,50752,,,,,,,"$50,752 "
559,Malik Newman\newmama01,CLE,50752,,,,,,,"$50,752 "
560,Marques Bolden\boldema01,CLE,50752,,,,,,,"$50,752 "
561,Sir'Dominic Pointer\pointsi01,CLE,50752,,,,,,,"$50,752 "
562,Paul Watson\watsopa01,ATL,50752,,,,,,,"$50,752 "
563,Tyler Cook\cookty01,CLE,50000,,,,,,,"$151,504 "
564,William Howard\howarwi01,UTA,50000,,,,,,,"$50,000 "
565,Isaiah Taylor\taylois01,TOR,50000,,,,,,,"$50,000 "
566,Tyler Lydon\lydonty01,SAC,50000,,,,,,,"$50,000 "
567,Hollis Thompson\thompho01,SAC,50000,,,,,,,"$50,000 "
568,Tyler Ulis\ulisty01,SAC,50000,,,,,,,"$50,000 "
